Sentence,Anger,Fear,Joy,Sadness,Surprise
"All right , now , send that woman and her young ' uns out !",1,0,0,0,0
"All right , [LOCATION] , that's enough .",1,0,0,0,0
"All right , talk !",1,0,0,0,0
"All right , what is it if I may ask , You do want to do ?",1,0,0,0,0
All right !,1,0,1,0,0
All right . I'll talk to [PERSON] .,1,0,0,0,0
All right . I've heard enough . I've heard enough .,1,0,0,0,0
All right . Let's go .,1,0,0,0,0
All that Latino macho shit .,1,0,0,0,0
All the officers were disloyal .,1,0,0,1,1
All this talk's just wasting time .,1,0,0,0,0
"All those bottles , of sizes different , completely in the wrong order ...",1,0,0,0,0
All those guns and violence ...,1,1,0,1,0
All you have to do ... is point her out and look the other way .,1,0,0,0,1
"All : Ohh , shit .",1,1,0,0,0
"[PERSON] , what have you done my little sister ?",1,0,0,0,0
"Alright , have it any way you want !",1,0,0,0,0
"Alright , knock it off !",1,0,0,0,0
Altitude !,1,0,0,0,0
Altitude ? - Altitude . You want some altitude ?,1,0,0,0,0
Am I okay ? Everybody's worried sick about you .,1,0,0,0,0
"Am I wrong , Lady ?",1,0,0,0,0
Amateur .,1,0,0,0,0
An executive order ...,1,0,0,0,0
"An ... an accident ? Easy , [PERSON] , easy . Watch the rug .",1,1,0,0,1
"And actresses are treated like I hate to use the word , but , shit .",1,1,0,1,0
And all that crap .,1,0,0,0,0
"And [PERSON] , she won't help me to solve them .",1,0,0,0,0
"And don't bother sending a bill , either !",1,0,0,0,0
And don't mess with nobody's girlfriend .,1,0,0,0,0
"And don't try anything funny , cos you know what you'll get .",1,0,0,0,0
"And don't waste none of his time , because he ain't staying around long .",1,0,0,0,0
And he waded in there with a lead pipe and he saved your ass and now you're going to deny him over his dead body ?,1,0,0,0,0
And how about translators ?,1,0,0,0,0
And how do you know that ?,1,0,0,0,0
And how is that different than all the times you risked me ?,1,0,0,0,0
And I ain't gonna repeat what he said .,1,0,0,0,0
And I can't get started .,1,0,0,0,0
And I dangled it in front of him and ripped it away .,1,0,0,0,1
And I don't care whether you go down with him or not .,1,0,0,0,0
And I don't share my husband with anyone !,1,0,0,0,0
"And I fear no one , Especially an unholy spirit from an unsavory world .",1,0,0,0,0
"And I hate the way you drive , and I hate your stinking whiskey breath .",1,0,0,0,0
And I hate these fucking doughnuts .,1,0,0,0,0
And I stormed out .,1,0,0,0,0
"And I want a list of everybody's budgets , research accounts and financials on my desk by tomorrow .",1,0,0,0,0
And I want [PERSON] and [PERSON] ... dead !,1,0,0,0,0
And I'll have every gunboat in the Navy hunting ' ole Nemo .,1,0,0,0,0
And I'll see you in court in three weeks .,1,0,0,0,0
And I'm being asked to brief the CIA director on stuff because he and the president are being lied to ?,1,0,0,0,1
And I'm warning you .,1,0,0,0,0
And if I refuse to sign it ?,1,0,0,0,0
"And if there was , I sure as hell wouldn't tell you , colonel .",1,0,0,0,0
"And if they try to , they'll find you dead .",1,0,0,0,0
"And if we could find it , it wouldn't have a tear .",1,0,0,0,0
"And if you don't take me to my hotel , that means I have to walk .",1,0,0,1,0
And it changes because the people at the top forget how they got there .,1,0,0,0,0
"And it is time that the [LOCATION] government started coming clean on what it's all about , because they're very important military and ...",1,0,0,0,0
"And it's about you , and it's about [PERSON] , and it's about the drinking , and it's about all of it .",1,0,0,0,0
And just what do you want me to do ?,1,0,0,0,0
"And let me remind you , we lost two key PA's in one day .",1,0,0,0,0
And now they've lost it .,1,0,1,1,0
And now this ?,1,0,0,0,0
And one other thing :,1,0,0,0,0
And runnin' late as usual .,1,0,0,0,0
And see that you get out of town .,1,0,0,0,0
And so will you .,1,0,0,0,0
And stop fidgeting .,1,0,0,0,0
And that they wouldn't hold Backpage responsible was very disturbing to me .,1,0,0,0,0
And that's my mother ... running away .,1,0,0,1,0
And that's why I don't wan na talk about it if I don't have to .,1,0,0,0,0
"And the last time you were in my office , you told me you hadn't committed a crime to get the job done .",1,0,0,0,0
And the other time .,1,0,0,0,0
And the sociopaths that are in control of those programs can't be allowed to speak for planet [LOCATION] .,1,1,0,0,0
"And then he says , l sure hope he was guilty .  Then he laughs . ",1,0,0,0,1
And then he'll run our lives and take our money .,1,1,0,0,0
And then I shot him .,1,0,0,0,0
And then I'm gonna get this right back .,1,0,1,0,0
"And there's not a damn thing you can do about it , you understand me ?",1,0,0,1,0
And these people in the union are smarter than what they used to be .,1,0,0,0,0
"And this spic , [PERSON] , what a fucking nut case .",1,0,0,0,1
And treat those two impostors Just the same ...  ,1,0,0,0,0
And very heavily .,1,0,0,0,0
And w - what am I supposed to take your word for being worth ?,1,0,0,0,0
And we think it's actually their job and they're not doing it .,1,0,0,0,0
And we're finished playing the key cities .,1,0,0,0,0
And we're trapped .,1,0,0,0,1
And what does he want ?,1,0,0,0,0
And what makes you think that note would interest me ?,1,0,0,0,0
And what point is that ?,1,0,0,0,0
And what sort of rubbish are you turning out now ?,1,0,0,0,0
"And what will you do then , [PERSON] ?",1,0,0,0,0
"And when the next plane is shot down , make sure you get the names and ages of the innocent victims right .",1,0,0,0,0
"And where I come from , you cut a deal with me to make sure I stop looking .",1,0,0,0,0
And whoever holds [LOCATION] points a dagger at the heart of [LOCATION] .,1,0,0,0,0
And you agree ?,1,0,0,0,0
And you also have to cross-modify your judgment that the entire universe was created just as the stage upon which the drama of the human development is unfolding .,1,0,0,0,0
And you can't make me .,1,0,0,0,0
And you think I don't ?,1,0,0,0,0
And you wan na know what else I think ?,1,0,0,0,0
And you were going to hate him for the rest of your life .,1,0,0,0,0
"And you wouldn't give a bent kopeck for his chances , the way he kept admitting over and over that he killed the old lady .",1,0,0,0,0
"And you wouldn't want to endanger Mr. [PERSON] , would you ?",1,1,0,0,0
"And you , all the time laughing at me .",1,0,0,0,0
And you're gonna have to blow me up too !,1,0,0,0,0
And you're shocked because I took credit for your idea .,1,0,0,0,0
"[PERSON] olla ! , I told him my problem , I told him I loved you and he told me to keep my trap shut .",1,0,0,0,0
Another break - in by some ... Sex - crazed man .,1,0,0,0,0
Answer my question .,1,0,0,0,0
Any decent church would've burnt you bastards years ago .,1,0,0,0,0
"Any of you guys call me [PERSON] , and I'll kill you .",1,0,0,0,0
Anybody can type .,1,0,0,0,0
"Anyhow , I'm sick a human life was lost .",1,0,0,0,0
Anyone who would deface a work of art with a color like that ought to have his ass removed .,1,0,0,0,0
Anything else ?,1,0,0,0,0
Anything you say can and will be used against you in a court of law .,1,0,0,0,0
"Anyway , we're late for school .",1,0,0,0,0
"Anyway , what's it matter to you ?",1,0,0,0,1
"Anyway , when do you special intelligence officers do what you're supposed to do ?",1,0,0,0,0
"Anyways , I don't give a damn .",1,0,0,0,0
Are my glasses there ? Eh ... no .,1,0,0,0,0
Are we gonna rescue an old man or stand here and argue ?,1,0,0,0,0
Are we supposed to just sit here and wait ?,1,0,0,0,0
Are you blind ?,1,0,0,0,0
Are you confessing to this ?,1,0,0,0,0
Are you confused ?,1,0,0,0,0
Are you crazy ?,1,0,0,0,1
Are you dumb ?,1,0,0,0,0
Are you fucking crazy ?,1,0,0,0,0
Are you going to come or do I have to drag you ?,1,0,0,0,0
Are you guys nuts ?,1,0,0,0,0
"Are you happy now , yeah ?",1,0,0,0,0
Are you just about finished ?,1,0,0,0,0
Are you kidding me ?,1,0,0,0,1
Are you kidding me ? !,1,0,0,0,0
Are you kidding ?,1,0,0,0,1
Are you listening ?,1,0,0,0,0
Are you looking at my hands ?,1,0,0,0,0
Are you mocking me ?,1,0,0,0,0
Are you off your trolley ?,1,0,0,0,0
Are you saying you're insane ? Is that your defense ? - Plus she took a lot of prescription medicine .,1,0,0,0,0
Are you telling me he's carrying a. and a. ?,1,1,0,0,0
Are you telling me I don't know what a shark looks like ?,1,0,0,0,0
Are you telling me not to worry but free the lab when you work everything out ?,1,0,0,0,0
Aren't things bad enough without you talking about dying ?,1,0,0,0,0
Aren't you ever satisfied ?,1,0,0,0,0
Aren't you gonna tell me my sins are forgiven ?,1,0,0,0,1
Aren't you human ?,1,0,0,0,0
Aren't you supposed to know that ? Isn't that your job ? How could you be stupid enough to let somebody follow you ?,1,0,0,0,0
Argh ! Kaili !,1,0,0,0,0
Art here saw her fighting him off .,1,0,0,0,0
As am I . The black community deserves so much better than [PERSON]'s failed policies .,1,1,0,0,0
"As he said , it's against the rules .",1,0,0,0,0
"As I said , sir it all depends how far we're willing to go .",1,0,0,0,0
"As I told you , it's time we did something about it .",1,0,0,0,0
As in ... pointless .,1,1,0,0,0
"As medical officer , I protest to the way he's being treated .",1,0,0,0,0
As much as I would regret saving his .,1,0,0,0,0
"As you can see , I'm being relieved of command .",1,0,0,1,0
"As you can see , the available forces have been badly distributed .",1,0,0,0,0
"As you know , over here , crime is not exploited to sell newspapers .",1,0,1,0,0
"Ask him what money , asshole .",1,0,0,0,0
Ask him !,1,0,0,0,0
"Asking who I sleep with isn't personal anymore ? What do you want to know , if I smoke ?",1,0,0,0,0
Assholes trying to round them up and put them in the back of trucks .,1,0,0,0,0
"At 10:00 , tomorrow morning , I want you to bring into my office either a letter denying emphatically that your remarks had any mystic implications or a letter of resignation .",1,0,0,0,0
"At some point , she told me about this guy who used to come around to check on her .",1,1,0,0,0
Attention !,1,0,0,0,0
"Autographed by the criminal himself . Hey , buddy , are you gonna read it or buy it ?",1,0,0,0,0
"Autumn , get out of here ! Don't fight anymore !",1,1,0,0,0
"Aw , I'll do what I damn well please .",1,0,1,0,0
"Aye , yous like to call yourselves opportunists instead of anarchists .",1,0,0,0,0
"Back down ! - All right , all right , all right .",1,1,0,0,0
"Back in the village when they made fun of you , I wanted to kill them .",1,0,0,0,0
Backpage refused to cooperate with the subcommittee's investigation .,1,0,0,0,0
Bad guy .,1,0,0,1,1
Bad news . Your father cleaned out your bank account to pay for the damage to his store .,1,0,0,1,0
Bastard !,1,0,0,0,0
Bastard .,1,0,0,0,0
Bastards .,1,0,0,0,0
"[PERSON] , I'm waiting !",1,0,0,0,0
Be a good fellow and get out now .,1,0,0,0,0
"Be gone , Satan !",1,0,0,0,0
Be nice to that girl .,1,0,0,0,0
Be quiet !,1,0,0,0,0
Be quiet .,1,0,0,0,0
"Be that as it may , it is a loan .",1,0,0,0,0
Because I already have it .,1,0,0,0,0
Because I did not want in your life .,1,0,0,0,0
"Because I do not like you , Mom .",1,0,0,0,1
Because I want to .,1,0,0,0,0
Because I'm still tired .,1,0,0,0,0
Because it didn't work .,1,0,0,0,0
Because it hurts my ears when you do it .,1,0,0,0,0
Because of your colonel's stubbornness we are far behind schedule .,1,0,0,0,0
Because she can't stand him !,1,0,0,0,0
"Because soon you'll be history . That's enough ! In the name of God ,",1,0,0,0,0
Because this could be a threat to all life on [LOCATION] if we are reckless with this issue .,1,1,0,1,0
Because we've lived through it .,1,0,1,0,0
Been trying to raise him for hours .,1,0,0,0,0
Before I heard about the bombing .,1,1,0,1,0
Behave yourself .,1,0,0,0,0
Being right ain't gonna do us any good .,1,0,0,0,0
"Believe me , I do . I think about it every goddamn day of my fucking life .",1,0,0,0,0
"[PERSON] , move it !",1,0,0,0,0
"[PERSON] , I'm disappointed in you . Hiding under a nest while [PERSON] needs help .",1,0,0,1,0
[PERSON] must be crazy .,1,0,0,0,0
"Besides , according to your story , you weren't exactly 100 % scientist after you took it .",1,0,0,0,0
"Besides , I have to go to the goddamn senior honours dinner tonight .",1,0,0,0,0
"[PERSON] , is you going out of your mind ?",1,0,0,0,0
"Better open this door , [PERSON] .",1,0,0,0,0
Better than yours .,1,0,0,0,0
"Between the cousins and neighbors , there were kids , always causing trouble together .",1,0,0,0,0
Big time hurt ! Back !,1,1,0,0,0
Bigger than you .,1,0,0,0,0
Bit dicey .,1,0,0,0,0
Bitch !,1,0,0,0,0
Blast off .,1,0,0,0,0
Bloody woman .,1,0,0,0,0
"Blow it , [PERSON] !",1,0,0,0,0
Blowing them up .,1,1,0,0,0
"Blue , pink , yellow or orange ? - Green .",1,0,0,0,0
[PERSON] continued to invade your privacy .,1,0,0,0,0
Boys ...,1,0,0,0,0
Break every mirror in the palace .,1,0,0,0,0
Break it up . Break it up .,1,1,0,0,0
Bridge ...,1,0,0,0,0
"Bring her back , girls , alive !",1,0,0,0,0
Bring her in later .,1,1,0,0,0
Bring her .,1,1,0,0,0
Bring him to me !,1,1,0,0,0
Bring him .,1,0,0,0,0
Bring my gun when you come back !,1,0,0,0,0
"Bringin' her home in the middle of the night wouldn't help anybody , especially her .",1,0,0,0,0
Bullshit !,1,0,0,0,0
Bullshit ! What do you see ?,1,0,0,0,0
Bullshit .,1,0,0,0,1
Burglars !,1,1,0,0,0
Burn this !,1,1,0,0,0
"Bury them for 24 , hours , give me time !",1,0,0,0,0
Busted .,1,1,0,0,0
But a crime was committed here and I'm going after her for it .,1,0,0,0,0
But don't let them take the boots .,1,0,0,0,0
But get on with it !,1,0,0,0,0
But hair just keeps on sprouting .,1,0,0,0,0
But he didn't give a shit .,1,0,0,0,0
But he kept it to himself . He kept a lot to himself .,1,0,0,1,0
"But hell , what a cop .",1,0,0,0,0
"But I do , I beat their time .",1,0,0,0,0
But I don't give up so easily .,1,0,0,0,0
But I don't know why because we're just having a nice evening at home watching a movie .,1,0,0,0,0
But I just escaped from here ! Don't you understand ?,1,0,0,0,0
But I need to know where it is .,1,0,0,0,0
But I won't stand it any longer .,1,0,0,0,0
But I'm always going to be a killer .,1,0,0,0,0
But if the last powder was taken there is two days it can not be very important .,1,0,0,0,0
"But if you care about us , you do not do this .",1,0,0,1,0
But if you do not work hard you will be punished .,1,0,0,0,0
"But if you're asking me what I want to do , I'm telling you that I haven't decided .",1,0,0,0,0
But it soon became obvious that the senor was only mildly interested in the available talent .,1,0,0,1,0
But it's not real .,1,0,0,0,0
But it's The Neverending Story . I've already read it .,1,0,0,0,0
"But [PERSON] never speaks with me , it will be possible to avoid it .",1,0,0,1,0
But my shirt is wet .,1,0,0,0,0
"But no , you had to be your stupid , stubborn , son of a bitch self .",1,0,0,0,0
"But since you insist on being treated as one , I have no choice but to oblige you .",1,0,1,0,0
But there is a problem .,1,0,0,1,0
But there's no support for this appealing idea .,1,1,1,1,1
But they began spreading wild rumours about steaming in circles . -,1,1,0,0,0
But they don't know that I intend to attack them without mercy .,1,0,0,0,0
"But what I tell [PERSON] to do , she will do .",1,0,0,0,0
But you can not do this !,1,0,0,0,0
"But you do remember this , don't you ?",1,0,0,0,0
But you don't hear me complaining .,1,0,0,0,0
"But you make one slip , just one and we'll see how long you survive in my cage .",1,0,0,0,0
But you shouldn't open other people's letters .  ,1,0,0,0,0
But you still haven't answered me .,1,0,0,0,0
But you're affecting the lives of a lot of other people .,1,0,0,0,0
But you're holding something back .,1,0,0,0,0
"But , [PERSON] , whatever it is that you're going through , we can help you , but you need to ... How the hell would you know what I need ?",1,0,0,0,0
Buy it or wreck it !,1,0,0,0,0
By Molto . No discussion . Interview .,1,0,0,0,0
"By most standards , flying all the way to [LOCATION] to look for a new face would seem like going to a lot of trouble .",1,0,0,0,1
"By next Friday , you'll have your money .",1,0,0,0,0
By stepping on a bottle and breaking the heel of my shoe !,1,0,0,0,0
By what right do you question me ?,1,0,0,0,0
"C'mon [PERSON] , we got ta find her before the old lech does .",1,0,0,0,0
"C'mon [PERSON] , hurry !",1,0,0,0,0
[PERSON]'s bugging me .,1,0,0,0,0
"Call it off , [PERSON] .",1,0,0,0,0
"Calm down , fam !",1,1,0,0,0
Calm down !,1,0,0,0,0
Can he be moved !,1,0,0,0,0
"Can I have my store back , now that she's going ?",1,0,0,0,0
Can I just leave my underwear ?,1,0,0,0,0
Can you believe it ? It's too tacky .,1,0,0,0,0
Can you explain your testimony that there is more stringent posting rules for selling a motorcycle than selling a - year - old ?,1,0,0,0,0
"Can you tell us why you elected not to go back in and blow up the missiles , Lieutenant ?",1,0,0,0,0
Can't do what ?,1,0,0,0,0
Can't I do what I think is right ?,1,0,0,1,0
Can't make out her name tag .,1,0,0,0,0
"Can't shoot a kid , can you , fucker ?",1,0,0,0,0
Can't you go in there and say something ?,1,0,0,0,0
Can't you humor him ? I need a favor .,1,0,0,0,0
"Can't you see I'm playing pool , bruv ?",1,0,0,0,1
Can't you walk faster ?,1,0,0,0,0
Can not your brother help ?,1,0,0,0,0
Cause I said so .,1,0,0,0,0
"cause if you take two big bites and just swallow it , It could get stuck in your throat .",1,0,0,0,0
Cease fire !,1,0,0,0,0
"[PERSON] , you had no right to do something like that .",1,0,0,0,0
"Chill or die , asshole .",1,0,0,0,0
Christ ! We've got no alternative .,1,0,0,0,0
Christ .,1,0,0,0,0
"Christ . I don't know what you've been up to , but [PERSON] is pissing fire .",1,1,0,0,0
Civilians this time .,1,0,0,0,0
Clang had the whole temple transported here for your sacrifice .,1,0,0,0,0
Claymore's gonna cut his nuts off faster than a hedge clipper .,1,0,0,0,0
Cleaning up your shit .,1,0,0,0,0
Clear ?,1,0,0,0,0
Close the hatch !,1,0,0,0,0
"Close your mouth , dear .",1,0,0,0,0
"Clowns carry horns , little rubber ones .",1,0,0,0,0
"Cody , please ! You must listen !",1,0,0,0,0
Col. [PERSON] has reported the theft of a gold ring . A gold ring .,1,0,0,0,0
Collaborating with President [PERSON] is always a mistake .,1,0,0,0,0
"Come back , here !",1,0,0,0,0
Come here !,1,0,0,0,0
"Come off a rumble , we'd beat the shit out of a gang .",1,0,0,0,0
Come off !,1,0,0,0,0
"Come on , [PERSON] . This is no place for a clergyman's son .",1,0,0,0,0
"Come on , come on , come on .",1,0,0,0,0
"Come on , [PERSON] . We got ta move !",1,0,0,0,0
"Come on , damn it !",1,0,0,0,0
"Come on , do what I tell you !",1,0,0,0,0
"Come on , don't just dawdle .",1,0,0,0,0
"Come on , get on .",1,0,0,0,0
"Come on , get up .",1,0,0,0,0
"Come on , honey .",1,0,0,0,0
"Come on , I'm old enough to be your father .",1,0,0,0,0
"Come on , it's Christmas .",1,0,1,1,0
"Come on , [PERSON] , move over .",1,0,0,0,0
"Come on , Lieutenant . What are the SEALs up to ?",1,0,0,0,0
"Come on , man . I feel fucked up already .",1,0,0,1,0
"Come on , [PERSON] , turn yourself in .",1,0,0,0,0
"Come on , Mr. [PERSON] . Really .",1,0,0,0,0
"Come on , [PERSON] .",1,0,0,0,0
"Come on , then !",1,0,0,0,0
"Come on , this is me you're talking to , [PERSON] ! Come on , [PERSON] .",1,0,0,0,0
"Come on , what are you fellows gaping at ?",1,0,0,0,0
Come on !,1,1,1,0,1
Come on ! - [PERSON] !,1,1,0,0,0
Come on ! Come on ! - No !,1,0,0,0,0
Come on ! You're gonna break your guitar . Come on .,1,1,0,0,0
Come on .,1,0,0,0,0
Come on . Are we doing this again ?,1,0,0,0,0
Come on . Cut it out .,1,0,0,0,0
"Come on . Go , just go .",1,0,0,0,0
Come on . I got a schedule to keep .,1,0,0,0,0
Come on . Stop complaining .,1,0,0,0,0
Come on . The whole point of these takeovers is to sell off the assets and put old farts like me out to pasture .,1,0,0,0,0
"Come over here and nobody gets hurt . OK , OK .",1,0,0,0,0
"Concocted all kinds of false information about weapons of mass destruction which [PERSON] did not have , and it was known in intelligence circles he didn't have .",1,0,0,0,0
"Congratulations , Rock ...",1,0,0,0,0
Congressman [PERSON] is minutes late as usual .,1,0,0,0,0
Convince yourself that way .,1,0,0,1,0
Coochie ...,1,0,0,0,0
Cool it ! Or you're gonna get the same thing your boyfriend got .,1,0,0,0,0
"[PERSON] , give me the nails over there !",1,0,0,0,0
"Cops are on strike , stupid .",1,0,0,0,0
Copycat !,1,0,0,0,0
Could have used this a week ago .,1,0,0,0,0
Could you guys shut up in there ?,1,0,0,0,0
"Could've told the truth , fucked them all , had the cigarette with me . That is such bullshit !",1,0,0,0,0
Cover up her mouth !,1,0,0,0,0
Coward !,1,0,0,0,0
"Cross , man , it's gonna cost you .",1,0,0,0,0
Cut it out .,1,0,0,0,0
"Cut out all that talking , [PERSON] .",1,0,0,0,0
Cut the conversation .,1,0,0,0,0
Cut the shit .,1,0,0,0,0
"Dad , will you teach me how to fight ?",1,0,1,0,0
Dad !,1,1,0,1,0
"Damn it , get in here !",1,0,0,0,0
"Damn it , Hob , [PERSON] needs us !",1,0,0,0,0
"Damn it , shut up !",1,0,0,0,0
"Damn it , stay back here .",1,1,0,0,0
Damn it .,1,0,0,0,0
Damn you !,1,0,0,0,0
Damn !,1,0,0,1,0
Damn .,1,0,0,0,0
"[PERSON] , you're going too fast .",1,0,0,0,0
"Darn it , [PERSON] .",1,0,0,0,0
[PERSON] hates caffeine .,1,0,0,0,0
"Dear Senator , have you got any idea what it takes to get a bill passed ?",1,0,0,0,0
Decker's been calling again .,1,0,1,0,0
Defend yourselves !,1,1,0,0,1
Designed to make your life a more annoying place to be .,1,0,0,0,0
Dickhead .,1,0,0,0,0
Did I hear Lieutenant Junior Grade  ? ,1,0,0,0,1
"Did I spend 9 , years with matadors not to learn about fear and safety ?",1,0,0,0,0
"Did it ever occur to you , [PERSON] , that the prince looked everywhere for [PERSON] just so that he could put the shoe back on her foot ?",1,0,0,0,0
Did not it have to be resting ? Yes .,1,0,0,0,0
Did that nickname have anything to do with the typhoon ?,1,0,0,0,0
Did the Lord say : His Pa is a sinner and not meant to be happy ?  - No . ,1,0,0,0,0
Did ya ? There was a razorback in my truck !,1,0,0,0,0
Did you bring that guy in here ?,1,0,0,0,0
Did you ever get my flowers ?,1,0,0,1,0
"Did you get drunk , dance in your underwear , and sing sea shanties ?",1,0,0,0,0
"Did you got , like , baby einstein show with him ?",1,0,0,0,0
Did you have a warrant to search his trunk ?,1,0,0,0,0
Did you hear me ?,1,0,0,0,0
Did you hope to go unnoticed here ?,1,0,0,0,0
Did you plant the bug ?,1,0,0,0,0
Did you really think he would come with you ?,1,0,0,0,1
Did you think we don't know about your affair with a government official ?,1,0,0,0,1
Did you try to break into [PERSON]'s house the night of the murder .,1,0,0,0,0
Did you write me that letter or not ?,1,0,0,0,0
Didn't you hear me ? I said go away !,1,0,0,0,0
Didn't you tell me to call you in five minutes ?,1,0,0,0,0
"Die , you bastard !",1,0,0,0,0
Die ... damn it !,1,0,0,0,0
Divvy bitch !,1,0,0,0,0
Do as I tell you !,1,0,0,0,0
Do everybody . How soon ?,1,0,0,0,0
Do exactly what I tell you and there won't be any problems .,1,0,0,0,0
Do I have to find out for yourself ?,1,0,0,0,0
Do not be foolish !,1,0,0,0,0
Do not leave fingerprints !,1,1,0,0,0
"Do not lie to me , [PERSON] .",1,0,0,0,0
"Do not lie you know , [PERSON] .",1,0,0,0,0
Do not look . You can touch .,1,0,0,0,0
Do not ruin kamoja .,1,0,0,0,0
Do not say that .,1,0,0,0,0
Do not say to me that I have anything to live for .,1,0,0,0,0
Do not talk about that son of a bitch .,1,0,0,0,0
"Do not think that I do not agree with everything you say , [PERSON] , but I. . .",1,1,0,1,1
Do not trifle with your luck .,1,0,0,0,0
Do not try to skip !,1,0,0,0,1
"Do not worry , he does not know anything .",1,0,0,0,0
Do people think I'm a carbon copy or a second - rate pretender who only got a shot because of my skin tone ?  ,1,1,0,0,0
Do something with yourself for pity's sakes .,1,0,0,0,1
Do something !,1,1,0,0,0
Do we give the impression of people who are pressed for money ?,1,0,0,0,0
Do what he says :,1,1,0,0,0
Do what he says .,1,0,0,0,0
"Do you accuse me , Mr. [PERSON] ?",1,0,0,0,0
Do you expect me to believe this ?,1,0,0,0,0
Do you have to cheat at everything ?,1,0,0,0,0
Do you have to make such a racket ?,1,0,0,0,0
Do you know Turn the car around and take me to my hotel  ? ,1,0,0,0,0
Do you question my word ?,1,0,0,0,0
Do you see how this affects [PERSON] ? You don't ?,1,0,0,0,0
Do you think I do ?,1,0,0,0,0
Do you think that I have forgotten all that has happened ?,1,0,0,1,0
Do you understand what I'm saying ?,1,0,0,0,0
Do you want to be a truck driver again ?,1,0,0,0,0
Do you wish me to translate [PERSON]'s letter or not ?,1,0,0,0,0
"Doctor's here to examine you , freak just so no one can say we laid one finger on you .",1,0,0,0,0
Does anything ever happen here ?,1,0,0,0,0
Does that make you more comfortable ? - Man :,1,0,0,0,0
Don't  Your Majesty  me !,1,0,0,0,0
Don't a man have a right to know what he's signing on for ?,1,0,0,0,0
Don't ask me why .,1,0,0,0,0
Don't be an idiot .,1,0,0,0,0
Don't be daft !,1,0,0,0,0
"Don't be fresh , dear .",1,0,0,0,0
Don't be nostalgic .,1,0,0,0,0
"Don't be rummaging through my private documents , [PERSON] .",1,0,0,0,0
Don't be sneaking up on me like that .,1,0,0,0,0
"Don't be so sentimental , [PERSON] .",1,0,0,0,0
Don't be such a noodle .,1,0,0,0,0
Don't be sure .,1,0,0,0,0
Don't be tricked by his devilish voice !,1,0,0,0,0
Don't bother to get up I'll take care of myself,1,0,0,0,0
Don't bother your daddy now .,1,0,0,0,0
Don't bother .,1,0,0,0,0
Don't call me commander .,1,0,0,0,0
Don't call me .,1,0,0,0,0
Don't change the station .,1,0,0,0,0
Don't come in !,1,0,0,0,0
